player,team,maps_played,avg_acs,avg_vlr,avg_kd,avg_impact,pred_impact,win_rate,avg_first_kills,avg_clutch,avg_hs,rank
bao,Evil Geniuses,5,188.45454545454547,0.9372727272727274,0.9420390067448892,3192641.282234399,3.195103e+06,0.45454545454545453,1.5454545454545454,0.021284271284271284,28.727272727272727,222
bang,100 Thieves,75,195.26288659793815,1.0421134020618557,1.1303399511210863,3192550.061638513,3.1923842e+06,0.5309278350515464,1.8298969072164948,0.02128366269701494,33.70103092783505,223
tomaszy,Karmine Corp,29,180.26027397260273,0.9127397260273972,0.9646409425921915,3188880.933366467,3.1902772e+06,0.4657534246575342,1.643835616438356,0.021259202337888788,33.43835616438356,224
Nivera,Karmine Corp,14,209.625,1.023125,1.1106035037427742,3181738.559369548,3.1782975e+06,0.28125,3.0625,0.021211585817564077,30.59375,225
cxyy,Night Wings Gaming,5,173.91666666666666,0.9075000000000001,0.8316753507929978,3172349.0268947612,3.1733278e+06,0.4166666666666667,2.1666666666666665,0.0211489898989899,29.333333333333332,226
neth,DetonatioN FocusMe,12,166.6,0.8416666666666667,0.8109552538964304,3144598.6512797046,3.1439612e+06,0.26666666666666666,0.9666666666666667,0.020963987703118137,26.433333333333334,227
kon4n,FURIA,8,161.8421052631579,0.7726315789473684,0.7517120564334187,3133996.9103814447,3.134539e+06,0.15789473684210525,1.2105263157894737,0.02089330947690081,23.894736842105264,228
qw1,FUT Esports,24,220.56363636363636,1.0267272727272727,1.238814075657588,3131385.2587496983,3.131501e+06,0.509090909090909,4.054545454545455,0.020875896900735064,25.70909090909091,229
JonahP,G2 Esports,71,185.5891891891892,0.9954054054054055,1.0160283185747583,3092124.3202257436,3.0910425e+06,0.6270270270270271,1.545945945945946,0.020614158151848284,24.25945945945946,230
BABYBAY,G2 Esports,19,193.65217391304347,0.9991304347826088,1.1486334887499243,3080418.800040073,3.08027e+06,0.717391304347826,2.5652173913043477,0.020536120973595733,21.347826086956523,231
Lar0k,BBL Esports,7,224.45,1.0755000000000001,1.1793292981528274,3074376.9996246016,3.0683378e+06,0.6,3.4,0.020495841877420824,30.6,232
7-Sep,Shenzhen NTER,6,172.92307692307693,0.8984615384615384,1.3874135754166714,3043478.9073718563,3.0436982e+06,0.46153846153846156,2.3846153846153846,0.020289855072463767,22.307692307692307,233
hoody,Giants Gaming,31,193.09333333333333,1.0001333333333333,1.0169534184998583,3024299.526723843,3.0241555e+06,0.49333333333333335,1.8933333333333333,0.020161992726267862,25.733333333333334,234
artzin,MIBR,49,192.54098360655738,0.8929508196721311,0.9461961235402545,3012604.267579659,3.0117955e+06,0.47540983606557374,2.3852459016393444,0.02008402449609262,24.827868852459016,235
heat,KRÜ Esports,39,193.11340206185568,0.965360824742268,1.0127369432961513,2992688.9968456877,2.993723e+06,0.35051546391752575,1.8144329896907216,0.019951255966218228,32.97938144329897,236
keiko,Team Liquid,61,218.28301886792454,1.1233333333333333,1.2540192028994834,2992564.281122933,2.991821e+06,0.5408805031446541,2.547169811320755,0.019950423665816175,36.742138364779876,237
BONECOLD,Team Vitality,13,168.06451612903226,0.8635483870967742,0.8253851230219451,2990873.59515076,2.9916165e+06,0.41935483870967744,1.7096774193548387,0.019939153880247848,29.580645161290324,238
Veqaj,FNATIC,12,211.7058823529412,1.041470588235294,1.0976343471462857,2967522.099521455,2.9744848e+06,0.4117647058823529,1.9411764705882353,0.01978347623311121,31.764705882352942,239
Demon1,Evil Geniuses,48,218.54166666666666,1.0963333333333334,1.2519861619534776,2970396.056901494,2.9708608e+06,0.5416666666666666,2.9833333333333334,0.01980263549796798,36.44166666666667,240
Dambi,Nongshim RedForce,27,226.94366197183098,1.0359154929577465,1.1366794261858144,2966989.269274019,2.9663752e+06,0.6197183098591549,3.8309859154929575,0.019779923697289786,22.211267605633804,241
tex,LEVIATÁN,51,185.2357142857143,0.907,1.0182599402490562,2958710.849076496,2.9584855e+06,0.5428571428571428,2.1,0.019724734978350155,33.57142857142857,242
murizzz,MIBR,11,175.92307692307693,0.8476923076923076,0.843649217082462,2915626.5794342095,2.9181878e+06,0.2692307692307692,1.4230769230769231,0.019437506937506937,25.615384615384617,243
TenZ,Sentinels,42,210.19811320754718,1.068867924528302,1.129121951495306,2917686.9878713437,2.9171778e+06,0.5660377358490566,2.339622641509434,0.019451242042575218,26.0,244
vora,100 Thieves,8,193.85,1.012,1.0653209980164315,2917464.7460110714,2.9167395e+06,0.55,1.5,0.019449760765550238,30.5,245
Asuna,100 Thieves,63,204.78064516129032,1.0011290322580646,1.0486243673974147,2907417.855220635,2.90709e+06,0.5096774193548387,2.567741935483871,0.01938278145817041,21.129032258064516,246
saadhak,LOUD,62,186.4294117647059,0.9102941176470588,0.9191849459737921,2906718.9435205045,2.9063578e+06,0.5470588235294118,2.070588235294118,0.019378122450511657,22.394117647058824,247
stellar,100 Thieves,14,180.69444444444446,0.9141666666666666,0.9459890627041039,2906156.2417108957,2.9048738e+06,0.4722222222222222,1.5555555555555556,0.019374371090057366,20.88888888888889,248
havoc,FURIA,19,188.37209302325581,0.7797674418604651,0.8213935464340462,2896880.2280498766,2.899469e+06,0.23255813953488372,3.1627906976744184,0.019312531214036,35.18604651162791,249
rhyme,Giants Gaming,19,168.0,0.8661363636363636,0.8823958030195717,2897642.6541702715,2.8969495e+06,0.5681818181818182,1.3636363636363635,0.019317614203977842,31.181818181818183,250
ban,TALON,49,189.46521739130435,0.9111739130434783,0.9604483272441392,2877360.7428077194,2.8766012e+06,0.43478260869565216,2.3043478260869565,0.019182400929315196,30.391304347826086,251
Jemkin,Rex Regum Qeon,47,233.97727272727272,1.1345454545454545,1.3055830416457344,2869670.504200623,2.8679328e+06,0.49242424242424243,3.946969696969697,0.01913113153178193,33.946969696969695,252
FiNESSE,NRG,39,165.85714285714286,0.8354081632653062,0.8304373603651324,2867430.0574976886,2.8659282e+06,0.5,1.5816326530612246,0.01911619687191014,18.775510204081634,253
ardiis,NRG,41,215.5631067961165,1.04,1.1254032396077545,2860469.957069886,2.862285e+06,0.5242718446601942,3.5533980582524274,0.019069795087324135,20.553398058252426,254
brawk,NRG,35,200.68478260869566,1.091304347826087,1.3842159562760417,2853233.142630008,2.8559352e+06,0.5869565217391305,1.2717391304347827,0.01902154950990083,20.652173913043477,255
soulcas,Team Liquid,27,170.8235294117647,0.9322058823529412,0.9617449187000499,2823009.9074945487,2.8224632e+06,0.4411764705882353,1.25,0.018820062259833764,34.779411764705884,256
GLYPH,Gentle Mates,9,163.8,0.9224000000000001,0.9102767447550729,2804348.378737814,2.8034958e+06,0.64,1.28,0.018695652173913044,22.68,257
flyuh,Movistar KOI(KOI),12,183.90322580645162,0.8248387096774193,0.8344517910931574,2795127.79821761,2.7933452e+06,0.2903225806451613,1.6129032258064515,0.018634181740893017,26.580645161290324,258
Proxh,Gentle Mates,5,161.71428571428572,0.8378571428571429,0.7936415901779679,2793040.7841475727,2.7928428e+06,0.2857142857142857,1.1428571428571428,0.018620268620268617,27.142857142857142,259
eKo,Gen.G,16,179.80769230769232,0.8999999999999999,0.914429753220239,2792584.157070901,2.7915478e+06,0.34615384615384615,1.9615384615384615,0.018617223924129293,22.03846153846154,260
BuZz,DRX,91,228.46311475409837,1.0467622950819673,1.1643289496178457,2772136.5748725776,2.772959e+06,0.5614754098360656,3.4549180327868854,0.018480905716296927,22.241803278688526,261
Cloud,GIANTX,60,202.5496688741722,1.0237086092715233,1.0744265494201979,2769999.014414413,2.7698055e+06,0.48344370860927155,1.8741721854304636,0.018466655752988444,28.728476821192054,262
UdoTan,Global Esports,19,217.7608695652174,1.006304347826087,1.0890911209778735,2759173.2176083415,2.7563242e+06,0.391304347826087,2.717391304347826,0.018394483588245403,28.652173913043477,263
Francis,Nongshim RedForce,27,208.56338028169014,1.0491549295774647,1.1320979836698595,2755500.351027029,2.7533178e+06,0.6197183098591549,2.295774647887324,0.018369997826339458,24.788732394366196,264
Boostio,100 Thieves,63,186.87577639751552,0.8946583850931676,0.9686408554821038,2741985.1309277387,2.742704e+06,0.5527950310559007,2.0869565217391304,0.018279896942028893,25.161490683229815,265
